[03.20 08:18:14] ┇ INFO    ┇           chrisbase.data ┇ Set random seed to 7
[03.20 08:18:14] ┇ INFO    ┇                     gner ┇ Convert data/GNER-QE/pile-ner-sampled-N19988-part1/*.jsonl[5] => data/GNER-QE/pile-ner-sampled-N19988-part1-quality_est-max_sampled=3.jsonl
[03.20 08:18:14] ┇ INFO    ┇           chrisbase.data ┇ =========================================================================================================================================
[03.20 08:18:14] ┇ INFO    ┇           chrisbase.data ┇ [INIT] python /raid/chrisjihee/proj/GNER/generate.py convert_to_qe_data data/GNER-QE/pile-ner-sampled-N19988-part1/*.jsonl
[03.20 08:18:14] ┇ INFO    ┇           chrisbase.data ┇ =========================================================================================================================================
[03.20 08:18:14] ┇ INFO    ┇                     gner ┇ [input_file] data/GNER-QE/pile-ner-sampled-N19988-part1/pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10.jsonl: #item=1000
[03.20 08:18:21] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   0%|                    |    1/1000 [0:00:06<1:49:18, 0.15Hz] | avg_combined=320, avg_sampled=73, max_f1=0.957
[03.20 08:18:32] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   0%|                    |    2/1000 [0:00:17<2:26:57, 0.11Hz] | avg_combined=436, avg_sampled=70, max_f1=0.974
[03.20 08:18:35] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   0%|                    |    3/1000 [0:00:20<1:55:30, 0.14Hz] | avg_combined=373, avg_sampled=69, max_f1=0.980
[03.20 08:18:39] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   0%|                    |    4/1000 [0:00:24<1:41:26, 0.16Hz] | avg_combined=317, avg_sampled=60, max_f1=0.915
[03.20 08:18:43] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   0%|                    |    5/1000 [0:00:28<1:33:47, 0.18Hz] | avg_combined=279, avg_sampled=59, max_f1=0.914
[03.20 08:18:46] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|                    |    6/1000 [0:00:31<1:25:43, 0.19Hz] | avg_combined=249, avg_sampled=52, max_f1=0.918
[03.20 08:18:48] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|▏                   |    7/1000 [0:00:33<1:18:10, 0.21Hz] | avg_combined=223, avg_sampled=48, max_f1=0.921
[03.20 08:18:51] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|▏                   |    8/1000 [0:00:36<1:15:54, 0.22Hz] | avg_combined=216, avg_sampled=46, max_f1=0.925
[03.20 08:18:57] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|▏                   |    9/1000 [0:00:42<1:18:33, 0.21Hz] | avg_combined=214, avg_sampled=44, max_f1=0.913
[03.20 08:19:03] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|▏                   |   10/1000 [0:00:48<1:20:09, 0.21Hz] | avg_combined=229, avg_sampled=42, max_f1=0.889
[03.20 08:19:07] ┇ INFO    ┇                     gner ┇   - Converting pile-ner-sampled-N19988-from-00000-to-01000-hybrid_gen-by_beam-amount=5x10:   1%|▏                   |   11/1000 [0:00:51<1:17:54, 0.21Hz] | avg_combined=220, avg_sampled=43, max_f1=0.903
